source_id,source_title,source_type,institution,year,url,notes
1,Fragmentation of International Law: Difficulties arising from the diversification and expansion of international law,ILC study report,International Law Commission,2006,https://legal.un.org/ilc/documentation/english/a_cn4_l702.pdf,Main Study Group report on fragmentation
2,Conclusions of the work of the Study Group on the Fragmentation of International Law,ILC conclusions,International Law Commission,2006,https://legal.un.org/ilc/texts/instruments/english/draft_articles/1_9_2006.pdf,ILC conclusions on fragmentation systemic integration and conflict techniques
3,Chapter XII Fragmentation of International Law,ILC report chapter,International Law Commission,2006,https://legal.un.org/ilc/reports/2006/english/chp12.pdf,ILC report chapter adopting conclusions
4,Vienna Convention on the Law of Treaties,treaty,United Nations,1969,https://legal.un.org/ilc/texts/instruments/english/conventions/1_1_1969.pdf,Treaty interpretation systemic integration Article 31 and treaty conflict rules
5,Oil Platforms,ICJ case,International Court of Justice,2003,https://www.icj-cij.org/case/90,Case illustrating treaty interpretation interacting with broader rules on force and self-defense
6,Oil Platforms Judgments,ICJ judgments page,International Court of Justice,2003,https://www.icj-cij.org/case/90/judgments,Official judgments page for Oil Platforms
7,Jurisdictional Immunities of the State,ICJ case,International Court of Justice,2012,https://www.icj-cij.org/case/143,Case illustrating regime tension between immunity and grave violations
8,Jurisdictional Immunities of the State Judgments,ICJ judgments page,International Court of Justice,2012,https://www.icj-cij.org/case/143/judgments,Official judgments page for Jurisdictional Immunities
9,Draft conclusions on subsequent agreements and subsequent practice in relation to the interpretation of treaties,ILC work product,International Law Commission,2018,https://legal.un.org/ilc/texts/instruments/english/draft_articles/1_11_2018.pdf,Interpretation and later treaty practice
10,Draft Articles on Responsibility of States for Internationally Wrongful Acts,ILC work product,International Law Commission,2001,https://legal.un.org/ilc/texts/instruments/english/draft_articles/9_6_2001.pdf,Background general law of responsibility relevant to regime interaction
