domain,core_pressure,legal_questions,likely_governance_forms
Fragmentation,Overlapping regimes and competing forums,Which regime applies which forum has authority and how conflicts are managed,Treaties courts domestic litigation regional systems soft law institutional dialogue
Multipolarity,Great-power rivalry and contested legitimacy,How universal norms survive when power is dispersed and institutions are blocked,UN processes regional coalitions alternative institutions diplomatic practice
Collective security,Security Council paralysis and hybrid conflict,How force aggression self-defense and humanitarian law apply under political blockage,UN Charter ICJ ICC regional action sanctions fact-finding
Human rights,Backlash authoritarian legalism and unequal enforcement,How rights remain universal while becoming materially enforceable,Treaty bodies regional courts domestic courts civil society mechanisms
Planetary crisis,Climate biodiversity oceans food water and ecological instability,How law allocates responsibility for cumulative and future harm,Climate treaties advisory opinions domestic litigation finance mechanisms
Global health,Pandemic risk and unequal preparedness,How surveillance equity emergency powers IP and supply chains are governed,WHO instruments pandemic agreement domestic health law procurement
Digital governance,AI cyber platforms data and digital sovereignty,How rights security accountability and standards apply to technical systems,Soft law standards domestic regulation UN cyber processes procurement
Economic order,Sanctions debt trade investment and supply-chain security,How economic law handles coercion resilience development and policy space,Trade law sanctions compliance debt restructuring investment law due diligence
Migration,Climate displacement asylum externalization and digital borders,How protection adapts to mobility beyond classic refugee categories,Refugee law human rights regional systems migration compacts domestic courts
Private power,Corporate platforms finance contractors and supply chains,How responsibility tracks control leverage benefit and remedy,UNGPs due diligence laws sanctions procurement litigation standards
