slug,title,status,regime_key,priority,article_type,source_focus,notes
sources-of-international-law,Sources of International Law,published,sources,1,foundation,ICJ Statute Article 38; treaties; custom; general principles,Core foundation article.
treaty-law-vienna-convention,Treaty Law,published,treaty_law,1,foundation,Vienna Convention on the Law of Treaties,Core treaty law article.
customary-international-law,Customary International Law,published,customary_law,1,foundation,State practice; opinio juris; ICJ case law; ILC materials,Core custom article.
general-principles-of-law-in-international-legal-order,General Principles of Law in International Legal Order,published,sources,1,foundation,ICJ Statute; ILC work; comparative legal principles,General principles article.
jus-cogens-erga-omnes-and-peremptory-norms-in-international-law,Jus Cogens Erga Omnes and Peremptory Norms in International Law,published,sources,1,foundation,ICJ case law; ILC conclusions; Vienna Convention,Peremptory norms and community obligations.
fragmentation-and-coherence-in-international-legal-order,Fragmentation and Coherence in International Legal Order,published,sources,1,foundation,ILC fragmentation study; regime interaction,Legal pluralism and regime conflicts.
westphalian-system-state-sovereignty,The Westphalian System and State Sovereignty,published,sovereignty,1,foundation,Historical sources; sovereignty doctrine; critical scholarship,State sovereignty article.
state-responsibility-international-law,State Responsibility in International Law,published,sovereignty,1,foundation,ILC Articles on State Responsibility; ICJ cases,Wrongful acts and consequences.
statehood-recognition-and-legal-personality-in-international-law,Statehood Recognition and Legal Personality in International Law,published,sovereignty,1,foundation,Montevideo Convention; recognition practice; ICJ opinions,Statehood and recognition.
sovereignty-jurisdiction-and-non-intervention-in-international-law,Sovereignty Jurisdiction and Non-Intervention,published,sovereignty,1,foundation,UN Charter; Nicaragua; state practice,Jurisdiction and intervention.
jurisdiction-in-international-law-territoriality-nationality-universality-extraterritorial-reach,"Jurisdiction in International Law: Territoriality, Nationality, Universality, and Extraterritorial Reach",published,sovereignty,1,foundation,Lotus; Arrest Warrant; UNCLOS; human rights jurisdiction; universal jurisdiction,Published jurisdiction article; repository folder uses articles/international-law/jurisdiction-in-international-law.
state-immunity-diplomatic-immunity-official-functions-international-law,"State Immunity, Diplomatic Immunity, and the Legal Protection of Official Functions",published,sovereignty,1,foundation,Vienna Diplomatic and Consular Conventions; ICJ immunity cases; UN State Immunities Convention; ILC official immunities,Published immunity article; repository folder uses articles/international-law/state-immunity-diplomatic-immunity-official-functions.
territory-borders-boundary-disputes-international-law,"Territory, Borders, and Boundary Disputes in International Law",published,sovereignty,1,foundation,UN Charter Article 2(4); Island of Palmas; ICJ boundary cases; UNCLOS; uti possidetis,Published territory and boundary article; repository folder uses articles/international-law/territory-borders-boundary-disputes.
self-determination-decolonization-and-the-rights-of-peoples,"Self-Determination, Decolonization, and the Rights of Peoples",draft,sovereignty,1,critical,UN Charter; Resolution 1514; ICCPR and ICESCR Article 1; Friendly Relations; ICJ advisory opinions,"Created as next article after Territory, Borders, and Boundary Disputes; repository folder uses articles/international-law/self-determination-decolonization-rights-of-peoples."
secession-recognition-and-contested-statehood,"Secession, Recognition, and Contested Statehood",planned,sovereignty,1,critical,Kosovo advisory opinion; recognition practice; self-determination; territorial integrity,Next article after self-determination.
international-courts-and-tribunals,International Courts and Tribunals,published,institutions,1,institutional,ICJ; ICC; ITLOS; WTO; regional courts,Institutional overview.
united-nations-collective-security,The United Nations and Collective Security,published,use_of_force,1,institutional,UN Charter; Security Council practice,Collective security architecture.
international-court-of-justice-judicial-settlement,The International Court of Justice and the Judicial Settlement of Disputes,planned,institutions,1,institutional,ICJ Statute; ICJ jurisdiction materials; judgments,Core institution article.
international-organizations-legal-authority,International Organizations and the Legal Authority of Global Institutions,planned,institutions,2,institutional,UN Charter; constituent instruments; institutional practice,Authority and accountability.
prohibition-use-of-force-international-law,The Prohibition on the Use of Force in International Law,planned,use_of_force,1,substantive,UN Charter Article 2(4); ICJ case law,Use of force foundation.
self-defense-collective-security-un-charter,Self-Defense Collective Security and the UN Charter Framework,planned,use_of_force,1,substantive,UN Charter Article 51; Security Council records; ICJ cases,Self-defense and collective security.
international-humanitarian-law-geneva-conventions,International Humanitarian Law: The Geneva Conventions and the Regulation of Armed Conflict,planned,ihl,1,substantive,Geneva Conventions; Additional Protocols; ICRC commentaries,IHL foundation.
law-of-war-distinction-proportionality-necessity-humanity,"The Law of War: Distinction, Proportionality, Necessity, and Humanity",planned,ihl,1,substantive,IHL treaties; ICRC custom; tribunal case law,Renamed from Distinction Proportionality and Civilian Protection in the Law of War.
international-criminal-law-atrocity-crimes,War Crimes Crimes Against Humanity Genocide and the Architecture of International Criminal Law,planned,icl,1,substantive,Rome Statute; tribunal statutes; ICC materials,ICL foundation.
international-criminal-court-politics-global-justice,The International Criminal Court and the Politics of Global Justice,planned,icl,1,institutional,Rome Statute; ICC cases; critical scholarship,Selective enforcement and accountability.
international-human-rights-law-foundations,International Human Rights Law: Foundations Covenants and Contemporary Development,planned,human_rights,1,substantive,UDHR; ICCPR; ICESCR; OHCHR,Human rights architecture.
refugee-law-asylum-non-refoulement,Refugee Law Asylum and the Principle of Non-Refoulement,planned,refugees,1,substantive,1951 Refugee Convention; UNHCR materials; human rights law,Protection across borders.
